Corso di Laurea,Livello,Dipartimento,Classe,Accesso,Lingua,Sede
RELAZIONI INTERNAZIONALI,Magistrale,SCIENZE POLITICHE E GIURIDICHE,LM-52 R - Relazioni internazionali,Libero,italiano,MESSINA
SCIENZE DELL'ALIMENTAZIONE E NUTRIZIONE UMANA,Magistrale,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",LM-61 R - Scienze della nutrizione umana,Libero,italiano,MESSINA
SCIENZE DELLE PROFESSIONI SANITARIE TECNICHE DIAGNOSTICHE,Magistrale,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",LM/SNT3 - Classe delle lauree magistrali in Scienze delle professioni sanitarie tecniche,Programmato,italiano,MESSINA
SCIENZE DELLE PUBBLICHE AMMINISTRAZIONI,Magistrale,SCIENZE POLITICHE E GIURIDICHE,LM-63 R - Scienze delle pubbliche amministrazioni,Libero,italiano,MESSINA
SCIENZE E LOGISTICA DEL TRASPORTO MARITTIMO ED AEREO,Magistrale,INGEGNERIA,LM-72 R - Scienze e tecnologie della navigazione,Libero,inglese italiano,MESSINA
SCIENZE E TECNICHE DELLE ATTIVITÀ MOTORIE PREVENTIVE E ADATTATE,Magistrale,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",LM-67 R - Scienze e tecniche delle attivita' motorie preventive e adattate,Programmato,italiano,MESSINA
SCIENZE INFERMIERISTICHE E OSTETRICHE,Magistrale,"PATOLOGIA UMANA DELL'ADULTO E DELL'ETA' EVOLUTIVA ""Gaetano Barresi""",LM/SNT1 - Classe delle lauree magistrali in Scienze infermieristiche e ostetriche,Programmato,italiano,MESSINA
SCIENZE PEDAGOGICHE,Magistrale,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",LM-85 R - Scienze pedagogiche,Libero,italiano,MESSINA
SCIENZE RIABILITATIVE DELLE PROFESSIONI SANITARIE,Magistrale,"PATOLOGIA UMANA DELL'ADULTO E DELL'ETA' EVOLUTIVA ""Gaetano Barresi""",LM/SNT2 - Classe delle lauree magistrali in Scienze riabilitative delle professioni sanitarie,Programmato,italiano,MESSINA
"SCIENZE STORICHE: SOCIETÀ, CULTURE E ISTITUZIONI D'EUROPA",Magistrale,CIVILTA' ANTICHE E MODERNE,LM-84 R - Scienze storiche,Libero,italiano,MESSINA
"SERVIZIO SOCIALE, POLITICHE SOCIALI E STUDI SOCIOLOGICI E RICERCA SOCIALE",Magistrale,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",LM-87 R - Servizio sociale e politiche sociali,Libero,italiano,MESSINA
"SICUREZZA, QUALITA' E SOSTENIBILITÀ DELLE PRODUZIONI ANIMALI",Magistrale,SCIENZE VETERINARIE,LM-86 R - Scienze zootecniche e tecnologie  animali,Libero,italiano,MESSINA
TRADIZIONE CLASSICA E ARCHEOLOGIA DEL MEDITERRANEO,Magistrale,CIVILTA' ANTICHE E MODERNE,LM-2 R - Archeologia,Libero,italiano,MESSINA
"TRADUZIONE, DIDATTICA E RELAZIONI CULTURALI PER LE LINGUE E LE LETTERATURE MODERNE",Magistrale,CIVILTA' ANTICHE E MODERNE,LM-37 R - Lingue e letterature moderne europee e americane,Libero,italiano,MESSINA
TURISMO E SPETTACOLO,Magistrale,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",LM-49 R - Progettazione e gestione dei sistemi turistici,Libero,italiano,MESSINA
